Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa),Rain Tomorrow
01/04/2020,18.1,24.8,0,4.6,0.8,ENE,35,15:25,22.1,88,7,E,13,1019.9,24.5,78,7,ENE,17,1017.6,0
02/04/2020,18.8,25.4,0,3.8,2.2,NE,33,09:16,20.6,92,7,NNE,7,1015.2,22.5,81,8,N,9,1011.6,1
03/04/2020,17.5,25.8,4.8,1.8,3.4,NE,31,19:01,18.8,93,3,ESE,6,1010.4,25.1,71,7,E,17,1006.1,1
04/04/2020,18.8,25.6,7.2,3.2,8.2,W,65,12:22,20.1,90,6,NNW,28,998.5,23.9,36,1,WNW,31,1000.8,0
05/04/2020,14,24.9,0,9.8,10.6,NNW,41,09:26,18.6,54,3,NW,19,1014.1,24.2,33,1,WNW,17,1011.1,0
06/04/2020,14.1,24.9,0,,9.7,SSE,46,20:25,19.3,60,2,WNW,13,1018.5,21.9,63,5,SE,22,1017.2,1
07/04/2020,15.2,21.7,4.8,11.6,5.8,SSE,35,11:11,17.9,82,7,S,11,1022.5,20.4,65,7,SSE,17,1020.8,1
08/04/2020,15.8,20.4,7.2,4.6,0.2,SSE,31,23:42,17.8,83,8,SE,11,1022.6,20.1,69,7,S,17,1022.1,0
09/04/2020,16.3,22.2,0,1.2,2.4,SSE,28,00:46,18.6,83,6,WSW,13,1027.1,20.7,74,6,SSW,9,1024.6,1
10/04/2020,17.6,23.3,1.2,2,3.1,WSW,59,17:28,18.4,94,8,N,13,1020.3,23,69,2,N,13,1012.2,1
11/04/2020,13.7,26.5,3.4,3.4,10.6,W,80,15:23,19.6,61,2,WNW,19,1005.8,25.3,33,2,W,41,1000.2,0
12/04/2020,11.9,22.6,0,7.6,10.9,W,37,00:05,15.3,49,1,W,22,1016.3,21.3,46,1,ESE,17,1015.4,0
13/04/2020,11.2,22.6,0,4.8,8.8,ENE,24,14:59,15.6,75,5,WNW,15,1022,21.6,57,6,ENE,19,1019.7,0
14/04/2020,12.9,24.5,0,,10.8,E,24,14:02,16.9,80,1,WNW,15,1025.1,23,66,1,E,13,1021.6,0
15/04/2020,14.8,25.4,0,,10.5,E,22,13:09,18.8,82,5,WNW,11,1023.6,23.6,63,3,ENE,19,1018.4,0
16/04/2020,17.7,25.7,0,12.8,0.5,NNW,37,11:04,22.1,62,7,NNW,7,1014,24.7,52,7,NNW,20,1009.3,0
17/04/2020,17.2,27.9,0,5.2,10.2,W,35,16:55,21.1,51,2,W,20,1011.2,27.3,21,1,SSW,17,1008.8,0
18/04/2020,13,24.9,0,6.8,,WSW,44,01:19,16.3,59,1,W,17,1013.8,22.5,42,1,ESE,19,1011.3,0
19/04/2020,12.2,23.9,0,,7.8,WNW,22,03:31,16.3,76,3,WNW,19,1014.5,23.3,60,3,ESE,13,1013.1,0
20/04/2020,13.6,19.4,0,8,0.1,W,28,07:17,16.3,84,7,W,11,1016.1,19,57,7,NNW,15,1012.4,0
21/04/2020,13.9,25.4,0,1.8,10.2,ENE,30,15:49,18.4,66,2,WNW,11,1019.3,23.1,59,2,ENE,20,1014.7,0
22/04/2020,13.9,26.3,0,5.6,10.2,W,39,09:51,18.7,66,1,W,19,1019,25.8,35,5,E,15,1016.5,0
23/04/2020,12.9,26.2,0,,9.4,N,31,12:27,16.4,68,3,WNW,22,1021.3,24.5,47,1,NE,17,1016,0
24/04/2020,16.4,28.4,0,10.6,9.9,WSW,31,12:13,20.4,61,1,W,11,1017.4,27.4,32,1,WSW,13,1015.8,0
25/04/2020,14.2,25.8,0,4,10.3,NNE,37,18:06,18.4,76,0,WNW,13,1022.1,25.1,64,1,NE,20,1017.7,0
26/04/2020,16,27.8,0,7.2,6.1,NW,41,12:54,20.8,59,6,NW,2,1015.2,25.1,38,8,WNW,20,1012.1,0
27/04/2020,16.1,21.6,0,3.4,1.8,ENE,35,23:53,17,84,6,WNW,13,1024,21.1,72,7,ENE,17,1023,1
28/04/2020,17,24.4,0.4,2.8,0.6,ENE,35,02:34,21.1,66,7,NE,17,1024.7,21.4,68,8,NE,17,1021.2,1
29/04/2020,16.9,25.1,0.4,4.4,7,NNE,39,15:47,19.8,86,5,N,6,1016,23.3,75,7,NE,17,1011.8,1
30/04/2020,19.1,21.1,0.2,5.6,0,WSW,59,11:59,21,82,7,NE,15,1006.5,13.9,97,8,WSW,9,1007,1
